phylum_group,domain,n_genomes_total,pgh_architecture,n_genomes,percentage
Pseudomonadota,Bacteria,12130,LysM+Amidase_2,15,0.124
Pseudomonadota,Bacteria,12130,LysM+Phage_lysozyme2,10,0.082
Pseudomonadota,Bacteria,12130,PG_binding_1+VanY,9,0.074
Pseudomonadota,Bacteria,12130,SH3_4+NLPC_P60,9,0.074
Pseudomonadota,Bacteria,12130,LysM+Peptidase_M15,7,0.058
Pseudomonadota,Bacteria,12130,LysM+NLPC_P60,2,0.016
Pseudomonadota,Bacteria,12130,PG_binding_1+Glyco_hydro_25,2,0.016
Pseudomonadota,Bacteria,12130,SH3_3+Glyco_hydro_25,2,0.016
Pseudomonadota,Bacteria,12130,SPOR+Amidase_2,2,0.016
Spirochaetota,Bacteria,570,LysM+Peptidase_M23,551,96.667
Spirochaetota,Bacteria,570,LysM+SLT,271,47.544
Spirochaetota,Bacteria,570,LysM+Amidase_3,48,8.421
Spirochaetota,Bacteria,570,SH3_6+NLPC_P60,14,2.456
Spirochaetota,Bacteria,570,PG_binding_3+Glyco_hydro_108,5,0.877
Spirochaetota,Bacteria,570,PG_binding_1+Peptidase_M23,4,0.702
Spirochaetota,Bacteria,570,SH3_3+Amidase_3,4,0.702
Spirochaetota,Bacteria,570,PG_binding_1+Peptidase_M15,2,0.351
Spirochaetota,Bacteria,570,PG_binding_1+Glucosaminidase,1,0.175
Spirochaetota,Bacteria,570,PG_binding_1+Glyco_hydro_25,1,0.175
Spirochaetota,Bacteria,570,SH3_16+NLPC_P60,1,0.175
Spirochaetota,Bacteria,570,SH3_3+Amidase_2,1,0.175
Spirochaetota,Bacteria,570,SH3_3+Glyco_hydro_25,1,0.175
Spirochaetota,Bacteria,570,SPOR+Amidase_2,1,0.175
Synergistota,Bacteria,112,LysM+Peptidase_M23,97,86.607
Synergistota,Bacteria,112,PG_binding_3+Glyco_hydro_108,19,16.964
Synergistota,Bacteria,112,SH3_6+NLPC_P60,19,16.964
Synergistota,Bacteria,112,SPOR+Amidase_2,1,0.893
Thermoplasmatota,Archaea,598,SH3_16+NLPC_P60,19,3.177
Thermoplasmatota,Archaea,598,SH3_3+NLPC_P60,9,1.505
Thermoplasmatota,Archaea,598,SH3_3+Amidase_6+Glyco_hydro_25,6,1.003
Thermoplasmatota,Archaea,598,PG_binding_1+Amidase_2,2,0.334
Thermoplasmatota,Archaea,598,AMIN+Amidase_3,1,0.167
Thermoplasmatota,Archaea,598,LysM+Amidase_6,1,0.167
Thermoplasmatota,Archaea,598,LysM+Peptidase_M23,1,0.167
Thermoplasmatota,Archaea,598,LysM+Phage_lysozyme2,1,0.167
Thermoplasmatota,Archaea,598,LysM+SLT,1,0.167
Thermoplasmatota,Archaea,598,PG_binding_1+Glyco_hydro_25,1,0.167
Thermoproteota,Archaea,705,LysM+SLT,5,0.709
Thermoproteota,Archaea,705,SH3_3+NLPC_P60,3,0.426
Thermoproteota,Archaea,705,PG_binding_1+VanY,2,0.284
Thermoproteota,Archaea,705,PG_binding_3+Glyco_hydro_108,2,0.284
Thermoproteota,Archaea,705,PG_binding_1+Amidase_2,1,0.142
Thermoproteota,Archaea,705,SH3_16+NLPC_P60,1,0.142
Thermoproteota,Archaea,705,SH3_3+Amidase_3,1,0.142
Thermoproteota,Archaea,705,SH3_6+NLPC_P60,1,0.142
Thermotogota,Bacteria,90,LysM+Peptidase_M23,86,95.556
Thermotogota,Bacteria,90,SH3_6+NLPC_P60,13,14.444
Thermotogota,Bacteria,90,SH3_16+NLPC_P60,8,8.889
Thermotogota,Bacteria,90,AMIN+Amidase_3,3,3.333
Thermotogota,Bacteria,90,SH3_3+NLPC_P60,3,3.333
Thermotogota,Bacteria,90,LysM+Amidase_2,1,1.111
Thermotogota,Bacteria,90,SH3_4+NLPC_P60,1,1.111
Thermotogota,Bacteria,90,SPOR+Amidase_2,1,1.111
Undinarchaeota,Archaea,5,PG_binding_3+Glyco_hydro_108,1,20.0
Verrucomicrobiota,Bacteria,1316,LysM+Amidase_2,220,16.717
Verrucomicrobiota,Bacteria,1316,LysM+Amidase_3,21,1.596
Verrucomicrobiota,Bacteria,1316,LysM+NLPC_P60,17,1.292
Verrucomicrobiota,Bacteria,1316,PG_binding_1+Amidase_2,13,0.988
Verrucomicrobiota,Bacteria,1316,PG_binding_3+Glyco_hydro_108,12,0.912
Verrucomicrobiota,Bacteria,1316,SH3_16+NLPC_P60,11,0.836
Verrucomicrobiota,Bacteria,1316,LysM+SLT,6,0.456
Verrucomicrobiota,Bacteria,1316,SH3_6+NLPC_P60,6,0.456
Verrucomicrobiota,Bacteria,1316,PG_binding_1+Peptidase_M15,1,0.076
Verrucomicrobiota,Bacteria,1316,SH3_4+NLPC_P60,1,0.076
Zixibacteria,Bacteria,96,LysM+SLT,82,85.417
Zixibacteria,Bacteria,96,SH3_16+NLPC_P60,28,29.167
Zixibacteria,Bacteria,96,SH3_3+NLPC_P60,17,17.708
Zixibacteria,Bacteria,96,PG_binding_3+Glyco_hydro_108,3,3.125
Zixibacteria,Bacteria,96,LysM+Peptidase_M15,1,1.042
Zixibacteria,Bacteria,96,PG_binding_1+Peptidase_M15,1,1.042
other_archaea,Archaea,47,,0,0.0
other_bacteria,Bacteria,1475,,0,0.0
